
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr sdnu.edu.cn @shihun.sdnu.edu.cn.
;; global options: +cmd
www.xsjlzx.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.sie.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.ncre.sdnu.edu.cn.	86400	IN	A	210.44.3.22
www.lib.sdnu.edu.cn.	86400	IN	A	210.44.1.2
IPTV.sdnu.edu.cn.	86400	IN	A	210.44.8.1
email.sdnu.edu.cn.	86400	IN	A	210.44.8.37
www.audit.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.fzgh.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.qlwhzy.sdnu.edu.cn.	86400	IN	A	210.44.14.13
www.efz.sdnu.edu.cn.	86400	IN	A	210.44.15.1
www.bkpg.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.mpa.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.mba.sdnu.edu.cn.	86400	IN	A	210.44.8.27
gsbaoming.sdnu.edu.cn.	86400	IN	A	210.44.14.4
www.gsbaoming.sdnu.edu.cn. 86400 IN	A	210.44.14.4
ws1.sdnu.edu.cn.	86400	IN	A	210.44.8.59
www.qlwh.sdnu.edu.cn.	86400	IN	A	210.44.8.29
ws2.sdnu.edu.cn.	86400	IN	A	210.44.8.60
www.su.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.jchjy.sdnu.edu.cn.	86400	IN	A	210.44.8.28
ws3.sdnu.edu.cn.	86400	IN	A	210.44.8.61
ids1.sdnu.edu.cn.	86400	IN	A	210.44.8.43
dpstar.sdnu.edu.cn.	86400	IN	A	210.44.8.42
www.youth.sdnu.edu.cn.	86400	IN	A	210.44.8.18
ids2.sdnu.edu.cn.	86400	IN	A	210.44.8.44
www.jjygl.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.oldsme.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.zwx.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.tangbo.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.gh.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.yktbg.sdnu.edu.cn.	86400	IN	A	210.44.8.21
www.skc.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.rsc.sdnu.edu.cn.	86400	IN	A	210.44.8.18
