
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr bisu.edu.cn @dns2.bisu.edu.cn.
;; global options: +cmd
jwc.bisu.edu.cn.	3600	IN	A	211.71.192.6
jxgl.bisu.edu.cn.	3600	IN	A	123.127.226.215
jxgl.bisu.edu.cn.	3600	IN	A	123.127.226.216
jxgl.bisu.edu.cn.	3600	IN	A	123.127.226.217
jxjy.bisu.edu.cn.	3600	IN	A	123.127.226.252
jyzx.bisu.edu.cn.	3600	IN	A	123.127.226.252
ksg.bisu.edu.cn.	3600	IN	A	211.71.192.80
kwh.bisu.edu.cn.	3600	IN	A	123.127.226.252
kyc.bisu.edu.cn.	3600	IN	A	211.71.202.70
lib.bisu.edu.cn.	3600	IN	A	211.71.202.5
lvguan.bisu.edu.cn.	3600	IN	A	123.127.226.252
mail.bisu.edu.cn.	3600	IN	A	123.127.226.209
map.bisu.edu.cn.	3600	IN	A	124.207.233.182
mend.bisu.edu.cn.	3600	IN	A	218.249.164.249
mh.bisu.edu.cn.		3600	IN	A	123.127.226.252
mta.bisu.edu.cn.	3600	IN	A	211.71.202.14
news.bisu.edu.cn.	3600	IN	A	123.127.226.252
nic.bisu.edu.cn.	3600	IN	A	211.71.192.9
nicd.bisu.edu.cn.	3600	IN	A	123.127.226.199
nicdnews.bisu.edu.cn.	3600	IN	A	123.127.226.252
oa.bisu.edu.cn.		3600	IN	A	10.10.15.16
obor.bisu.edu.cn.	3600	IN	A	123.127.226.252
portal.bisu.edu.cn.	3600	IN	A	123.127.226.203
riyu.bisu.edu.cn.	3600	IN	A	123.127.226.252
ryxy.bisu.edu.cn.	3600	IN	A	211.71.192.74
server2.bisu.edu.cn.	3600	IN	A	211.71.197.133
sie.bisu.edu.cn.	3600	IN	A	123.100.12.39
sign.bisu.edu.cn.	3600	IN	A	211.71.192.26
sizheng.bisu.edu.cn.	3600	IN	A	123.127.226.252
student.bisu.edu.cn.	3600	IN	A	123.127.226.221
su.bisu.edu.cn.		3600	IN	A	211.71.192.77
szyp.bisu.edu.cn.	3600	IN	A	211.71.192.4
tch09.bisu.edu.cn.	3600	IN	A	211.71.192.77
tech.bisu.edu.cn.	3600	IN	A	10.10.15.38
test.bisu.edu.cn.	3600	IN	A	211.71.192.77
test1.bisu.edu.cn.	3600	IN	A	123.127.226.243
tiyu.bisu.edu.cn.	3600	IN	A	123.127.226.252
tour.bisu.edu.cn.	3600	IN	A	218.249.164.253
v.bisu.edu.cn.		3600	IN	A	211.71.192.76
whcy.bisu.edu.cn.	3600	IN	A	123.127.226.252
www.bisu.edu.cn.	3600	IN	A	123.127.226.252
xipu.bisu.edu.cn.	3600	IN	A	123.127.226.252
yingying.bisu.edu.cn.	3600	IN	A	123.127.226.252
yingyu.bisu.edu.cn.	3600	IN	A	123.127.226.252
