
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr zjtie.edu.cn @dns2.zjtie.edu.cn.
;; global options: +cmd
wgb.zjtie.edu.cn.	3600	IN	A	60.191.1.39
wgjx.zjtie.edu.cn.	3600	IN	A	183.129.232.197
whys.zjtie.edu.cn.	3600	IN	A	60.191.1.39
wljnjs.zjtie.edu.cn.	3600	IN	A	60.191.1.39
wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.59
cbkj.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.52
cbkjsw.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.52
cgsw.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.43
ckjrgw.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
czjr.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.59
fdckf.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.52
fwly.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.52
gzty.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.43
hlwcp.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
jsjwl.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
kjxxh.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
lyygt.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
mzdsx.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.52
qccsdk.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
qcjxjc.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
qtkf.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.52
qysjsw.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
qyss.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.43
qzys.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.52
scxs.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.52
swyyfy.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
sxddxy.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.52
tjdcfx.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
wyglsw.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.52
wzjs.wlkc.zjtie.edu.cn.	3600	IN	A	60.12.11.43
ywdzcz.wlkc.zjtie.edu.cn. 3600	IN	A	60.191.1.43
yyxz.wlkc.zjtie.edu.cn.	3600	IN	A	60.191.1.52
www.zjtie.edu.cn.	3600	IN	A	60.191.1.38
xgb.zjtie.edu.cn.	3600	IN	A	60.191.1.39
szf.xgb.zjtie.edu.cn.	3600	IN	A	60.191.1.39
xgsq.zjtie.edu.cn.	3600	IN	A	60.191.1.61
xlzx.zjtie.edu.cn.	3600	IN	A	60.191.1.52
xq.zjtie.edu.cn.	3600	IN	A	60.191.1.39
xsh.zjtie.edu.cn.	3600	IN	A	60.191.1.39
xxgk.zjtie.edu.cn.	3600	IN	A	60.191.1.39
zcsb.zjtie.edu.cn.	3600	IN	A	183.129.232.201
zhsj.zjtie.edu.cn.	3600	IN	A	60.191.1.39
zhsjcg.zjtie.edu.cn.	3600	IN	A	183.129.232.198
zsb.zjtie.edu.cn.	3600	IN	A	60.191.1.62
zt.zjtie.edu.cn.	3600	IN	A	60.191.1.39
zwjj.zjtie.edu.cn.	3600	IN	A	60.191.1.39
zyk.zjtie.edu.cn.	3600	IN	A	60.191.1.42
zjtie.edu.cn.		3600	IN	SOA	dns1.zjtie.edu.cn. root.zjtie.edu.cn. 2014121903 3600 600 604800 3600
;; Query time: 11 msec
;; SERVER: 60.191.1.50#53(60.191.1.50)
;; WHEN: Mon Feb 16 23:21:56 2015
;; XFR size: 141 records (messages 1, bytes 3049)

