
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr wzmc.edu.cn @dns4.wzmc.edu.cn.
;; global options: +cmd
welcome.wzmc.edu.cn.	86400	IN	A	122.228.158.109
wenguan.wzmc.edu.cn.	86400	IN	A	61.153.27.185
wgy.wzmc.edu.cn.	86400	IN	A	61.153.27.185
www.wzmc.edu.cn.	86400	IN	A	61.153.27.176
wwww.wzmc.edu.cn.	86400	IN	A	61.153.27.176
xsc.wzmc.edu.cn.	86400	IN	A	122.228.158.105
xljk.xsc.wzmc.edu.cn.	86400	IN	A	122.228.158.105
xsgl.xsc.wzmc.edu.cn.	86400	IN	A	122.228.158.105
xscold.wzmc.edu.cn.	86400	IN	A	122.228.158.105
xssq.wzmc.edu.cn.	86400	IN	A	59.79.168.81
xxgc.wzmc.edu.cn.	86400	IN	A	61.153.27.185
yjsy.wzmc.edu.cn.	86400	IN	A	59.79.168.27
yxy.wzmc.edu.cn.	86400	IN	A	59.79.168.87
bmc.yxy.wzmc.edu.cn.	86400	IN	A	122.228.158.104
fxcszx.yxy.wzmc.edu.cn.	86400	IN	A	61.153.27.185
icgfs.yxy.wzmc.edu.cn.	86400	IN	A	61.153.27.185
imp.yxy.wzmc.edu.cn.	86400	IN	A	114.80.116.88
medchem.yxy.wzmc.edu.cn. 86400	IN	A	122.228.158.104
nmrlab.yxy.wzmc.edu.cn.	86400	IN	A	61.153.27.185
ywyjy.yxy.wzmc.edu.cn.	86400	IN	A	61.153.27.185
yxlab.yxy.wzmc.edu.cn.	86400	IN	A	122.228.158.104
zhaopin.wzmc.edu.cn.	86400	IN	A	122.228.158.100
zhaosheng.wzmc.edu.cn.	86400	IN	A	122.228.158.115
zzb.wzmc.edu.cn.	86400	IN	A	122.228.158.113
wzmc.edu.cn.		86400	IN	SOA	dns1.wzmc.edu.cn. root.wzmc.edu.cn. 2014080102 3600 900 604800 86400
;; Query time: 11 msec
;; SERVER: 59.79.168.99#53(59.79.168.99)
;; WHEN: Mon Feb 16 23:21:57 2015
;; XFR size: 117 records (messages 1, bytes 2555)

