
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr bjut.edu.cn @dragon2.bjut.edu.cn.
;; global options: +cmd
cloudvpn.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
cms.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
cmss.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
cnftp.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
cnmlca.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
cocoon2015.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
cpcc2013.bjut.edu.cn.	3600	IN	CNAME	isi.bjut.edu.cn.
cqt.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
cruise.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
ctd.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
cwc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
cwss.bjut.edu.cn.	3600	IN	CNAME	cmss.bjut.edu.cn.
d21.bjut.edu.cn.	3600	IN	A	172.21.92.100
daijian.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
ddh10.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
dept.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
dfdx.bjut.edu.cn.	3600	IN	CNAME	webwin.bjut.edu.cn.
djyd.bjut.edu.cn.	3600	IN	CNAME	webwin.bjut.edu.cn.
dmforum.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
dostrum.bjut.edu.cn.	3600	IN	CNAME	ceet.bjut.edu.cn.
dotnet-center.bjut.edu.cn. 3600	IN	NS	linkproof.bjut.edu.cn.
dragon.bjut.edu.cn.	3600	IN	A	202.112.78.1
dragon2.bjut.edu.cn.	3600	IN	A	219.239.98.216
dragon2.bjut.edu.cn.	3600	IN	A	114.251.253.216
dxwl.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
dzssj.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
